,방송일시,마더코드,상품코드,상품명,상품군,판매단가,노출,month,취급액
1,1546322400000000000,100346,201072,1592,7,39900,20,1,2099000
2,1546322400000000000,100346,201079,1598,7,39900,20,1,4371000
3,1546323600000000000,100346,201072,1592,7,39900,20,1,3262000
4,1546323600000000000,100346,201079,1598,7,39900,20,1,6955000
5,1546324800000000000,100346,201072,1592,7,39900,20,1,6672000
6,1546324800000000000,100346,201079,1598,7,39900,20,1,9337000
7,1546326000000000000,100305,200974,1137,6,59000,20,1,6819000
8,1546327200000000000,100305,200974,1137,6,59000,20,1,15689000
9,1546328400000000000,100305,200974,1137,6,59000,20,1,25370000
10,1546329600000000000,100808,202377,182,7,59900,20,1,16133000
11,1546330800000000000,100808,202377,182,7,59900,20,1,30061000
12,1546332000000000000,100808,202377,182,7,59900,20,1,53542000
13,1546333200000000000,100816,202404,911,7,79000,20,1,16075000
14,1546334400000000000,100816,202404,911,7,79000,20,1,25628000
15,1546335600000000000,100816,202404,911,7,79000,20,1,49270000
16,1546336800000000000,100809,202395,193,7,79900,20,1,48799000
17,1546338000000000000,100809,202395,193,7,79900,20,1,97907000
18,1546339200000000000,100809,202395,193,7,79900,20,1,112972000
19,1546340400000000000,100664,201999,1561,6,69900,20,1,24531000
20,1546341600000000000,100664,201999,1561,6,69900,20,1,49829000
21,1546344000000000000,100088,200236,1081,10,60900,20,1,33823000
22,1546345200000000000,100088,200236,1081,10,60900,20,1,59083000
23,1546346400000000000,100088,200236,1081,10,60900,20,1,99235000
24,1546347600000000000,100305,200970,1133,6,109000,30,1,32273000
25,1546349400000000000,100305,200970,1133,6,109000,30,1,79273000
26,1546351200000000000,100377,201220,415,7,119000,30,1,11269000
27,1546351200000000000,100377,201226,420,7,119000,30,1,20841000
28,1546353000000000000,100377,201220,415,7,119000,30,1,40526000
29,1546353000000000000,100377,201226,420,7,119000,30,1,47294000
30,1546354800000000000,100496,201497,941,3,60900,20,1,14113000
31,1546356000000000000,100496,201497,941,3,60900,20,1,32395000
32,1546357200000000000,100496,201497,941,3,60900,20,1,39669000
33,1546358400000000000,100322,201479,397,3,49900,20,1,60787000
34,1546359600000000000,100322,201479,397,3,49900,20,1,115457000
35,1546360800000000000,100849,202512,636,3,61000,20,1,83893000
36,1546362000000000000,100074,200197,937,8,39800,20,1,42239000
37,1546363200000000000,100074,200197,937,8,39800,20,1,73494000
38,1546364400000000000,100074,200197,937,8,39800,20,1,107103000
39,1546365600000000000,100435,201350,1192,3,39900,20,1,59050000
40,1546366800000000000,100435,201350,1192,3,39900,20,1,85937000
41,1546368000000000000,100435,201350,1192,3,39900,20,1,101468000
42,1546369200000000000,100607,201892,1666,6,119000,20,1,36620000
43,1546370400000000000,100607,201892,1666,6,119000,20,1,69349000
44,1546371600000000000,100607,201892,1666,6,119000,20,1,84610000
45,1546372800000000000,100150,200532,1285,1,439000,20,1,35519000
46,1546372800000000000,100150,200464,687,1,489000,20,1,19123000
47,1546374000000000000,100150,200532,1285,1,439000,20,1,56859000
48,1546374000000000000,100150,200464,687,1,489000,20,1,58685000
49,1546375200000000000,100150,200532,1285,1,439000,20,1,68320000
50,1546375200000000000,100150,200464,687,1,489000,20,1,46068000
51,1546376400000000000,100049,202043,624,7,499000,20,1,16362000
52,1546377600000000000,100049,202043,624,7,499000,20,1,53791000
53,1546378800000000000,100049,202043,624,7,499000,20,1,84562000
54,1546380000000000000,100271,200896,1754,7,299000,30,1,38067000
55,1546381800000000000,100271,200896,1754,7,299000,30,1,77764000
56,1546383600000000000,100718,202108,560,6,89900,20,1,23075000
57,1546384800000000000,100718,202108,560,6,89900,20,1,39452000
58,1546386000000000000,100718,202108,560,6,89900,20,1,60010000
59,1546387200000000000,100377,201225,419,7,69900,20,1,6082000
60,1546387200000000000,100377,201231,424,7,69900,20,1,6445000
61,1546388400000000000,100377,201225,419,7,69900,20,1,11985000
62,1546388400000000000,100377,201231,424,7,69900,20,1,8491000
63,1546389600000000000,100377,201225,419,7,69900,20,1,16461000
64,1546389600000000000,100377,201231,424,7,69900,20,1,10641000
65,1546390800000000000,100193,200652,536,6,69900,20,1,9647000
66,1546392000000000000,100193,200652,536,6,69900,20,1,15516000
67,1546393200000000000,100193,200652,536,6,69900,17,1,18695000
68,1546408800000000000,100229,200799,865,5,29800,20,1,9605000
69,1546410000000000000,100229,200799,865,5,29800,20,1,11265000
70,1546411200000000000,100229,200799,865,5,29800,20,1,14371000
71,1546412400000000000,100315,201002,131,2,69000,20,1,14944000
72,1546413600000000000,100315,201002,131,2,69000,20,1,25881000
73,1546414800000000000,100315,201002,131,2,69000,20,1,30126000
74,1546416000000000000,100305,200974,1137,6,59000,20,1,11314000
75,1546417200000000000,100305,200974,1137,6,59000,20,1,21397000
76,1546418400000000000,100305,200974,1137,6,59000,20,1,34822000
77,1546419600000000000,100454,201409,239,7,39900,20,1,12607000
78,1546420800000000000,100454,201409,239,7,39900,20,1,23042000
79,1546422000000000000,100454,201409,239,7,39900,20,1,38449000
80,1546423200000000000,100448,202098,1392,10,158000,20,1,7239000
81,1546423200000000000,100448,202092,798,10,168000,20,1,8951000
82,1546423200000000000,100448,202099,1393,10,148000,20,1,2118000
83,1546423200000000000,100448,202094,799,10,158000,20,1,2262000
84,1546424400000000000,100448,202098,1392,10,158000,20,1,27223000
85,1546424400000000000,100448,202092,798,10,168000,20,1,13074000
86,1546424400000000000,100448,202099,1393,10,148000,20,1,9408000
87,1546424400000000000,100448,202094,799,10,158000,20,1,4507000
88,1546425600000000000,100448,202098,1392,10,158000,20,1,44478000
89,1546425600000000000,100448,202092,798,10,168000,20,1,18925000
90,1546425600000000000,100448,202099,1393,10,148000,20,1,13024000
91,1546425600000000000,100448,202094,799,10,158000,20,1,3368000
92,1546426800000000000,100271,200896,1754,7,299000,30,1,29763000
93,1546428600000000000,100271,200896,1754,7,299000,30,1,66392000
94,1546430400000000000,100765,202230,721,10,238000,20,1,10107000
95,1546430400000000000,100765,202238,1317,10,228000,20,1,2270000
96,1546430400000000000,100765,202229,720,10,218000,20,1,1469000
97,1546430400000000000,100765,202237,1316,10,208000,20,1,2757000
98,1546431600000000000,100765,202230,721,10,238000,20,1,17801000
99,1546431600000000000,100765,202238,1317,10,228000,20,1,17732000
100,1546431600000000000,100765,202229,720,10,218000,20,1,10627000
101,1546431600000000000,100765,202237,1316,10,208000,20,1,4731000
102,1546432800000000000,100765,202230,721,10,238000,20,1,25462000
103,1546432800000000000,100765,202238,1317,10,228000,20,1,21428000
104,1546432800000000000,100765,202229,720,10,218000,20,1,6384000
105,1546432800000000000,100765,202237,1316,10,208000,20,1,4095000
106,1546434000000000000,100844,202491,1716,3,32900,20,1,29599000
107,1546435200000000000,100844,202491,1716,3,32900,20,1,40882000
108,1546436400000000000,100844,202491,1716,3,32900,20,1,42466000
109,1546437600000000000,100305,200970,1133,6,109000,30,1,28456000
110,1546439400000000000,100305,200970,1133,6,109000,30,1,56800000
111,1546441200000000000,100253,200864,1047,3,30900,20,1,41722000
112,1546442400000000000,100253,200864,1047,3,30900,20,1,43167000
113,1546443600000000000,100253,200864,1047,3,30900,20,1,70322000
114,1546444800000000000,100722,202113,245,3,30900,20,1,11931000
115,1546444800000000000,100722,202112,244,3,30900,20,1,6694000
116,1546446000000000000,100722,202113,245,3,30900,20,1,16983000
117,1546446000000000000,100722,202112,244,3,30900,20,1,9744000
118,1546447200000000000,100722,202113,245,3,30900,20,1,18931000
119,1546447200000000000,100722,202112,244,3,30900,20,1,11181000
