,방송일시,마더코드,상품코드,상품명,상품군,브랜드,노출(분),month,판매단가,취급액
0,1.55E+18,100346,201072,1592,7,393,20,1,39900,2099000
1,1.55E+18,100346,201079,1598,7,393,20,1,39900,4371000
2,1.55E+18,100346,201072,1592,7,393,20,1,39900,3262000
3,1.55E+18,100346,201079,1598,7,393,20,1,39900,6955000
4,1.55E+18,100346,201072,1592,7,393,20,1,39900,6672000
5,1.55E+18,100346,201079,1598,7,393,20,1,39900,9337000
6,1.55E+18,100305,200974,1137,6,295,20,1,59000,6819000
7,1.55E+18,100305,200974,1137,6,295,20,1,59000,15689000
8,1.55E+18,100305,200974,1137,6,295,20,1,59000,25370000
9,1.55E+18,100808,202377,182,7,9,20,1,59900,16133000
10,1.55E+18,100808,202377,182,7,9,20,1,59900,30061000
11,1.55E+18,100808,202377,182,7,9,20,1,59900,53542000
12,1.55E+18,100816,202404,911,7,185,20,1,79000,16075000
13,1.55E+18,100816,202404,911,7,185,20,1,79000,25628000
14,1.55E+18,100816,202404,911,7,185,20,1,79000,49270000
15,1.55E+18,100809,202395,193,7,9,20,1,79900,48799000
16,1.55E+18,100809,202395,193,7,9,20,1,79900,97907000
17,1.55E+18,100809,202395,193,7,9,20,1,79900,112972000
18,1.55E+18,100664,201999,1561,6,384,20,1,69900,24531000
19,1.55E+18,100664,201999,1561,6,384,20,1,69900,49829000
20,1.55E+18,100088,200236,1081,10,275,20,1,60900,33823000
21,1.55E+18,100088,200236,1081,10,275,20,1,60900,59083000
22,1.55E+18,100088,200236,1081,10,275,20,1,60900,99235000
23,1.55E+18,100305,200970,1133,6,295,30,1,109000,32273000
24,1.55E+18,100305,200970,1133,6,295,30,1,109000,79273000
25,1.55E+18,100377,201220,415,7,57,30,1,119000,11269000
26,1.55E+18,100377,201226,420,7,57,30,1,119000,20841000
27,1.55E+18,100377,201220,415,7,57,30,1,119000,40526000
28,1.55E+18,100377,201226,420,7,57,30,1,119000,47294000
29,1.55E+18,100496,201497,941,3,194,20,1,60900,14113000
30,1.55E+18,100496,201497,941,3,194,20,1,60900,32395000
31,1.55E+18,100496,201497,941,3,194,20,1,60900,39669000
32,1.55E+18,100322,201479,397,3,41,20,1,49900,60787000
33,1.55E+18,100322,201479,397,3,41,20,1,49900,115457000
34,1.55E+18,100849,202512,636,3,77,20,1,61000,83893000
35,1.55E+18,100074,200197,937,8,193,20,1,39800,42239000
36,1.55E+18,100074,200197,937,8,193,20,1,39800,73494000
37,1.55E+18,100074,200197,937,8,193,20,1,39800,107103000
38,1.55E+18,100435,201350,1192,3,308,20,1,39900,59050000
39,1.55E+18,100435,201350,1192,3,308,20,1,39900,85937000
40,1.55E+18,100435,201350,1192,3,308,20,1,39900,101468000
41,1.55E+18,100607,201892,1666,6,410,20,1,119000,36620000
42,1.55E+18,100607,201892,1666,6,410,20,1,119000,69349000
43,1.55E+18,100607,201892,1666,6,410,20,1,119000,84610000
44,1.55E+18,100150,200532,1285,1,15,20,1,439000,35519000
45,1.55E+18,100150,200464,687,1,15,20,1,489000,19123000
46,1.55E+18,100150,200532,1285,1,15,20,1,439000,56859000
47,1.55E+18,100150,200464,687,1,15,20,1,489000,58685000
48,1.55E+18,100150,200532,1285,1,15,20,1,439000,68320000
49,1.55E+18,100150,200464,687,1,15,20,1,489000,46068000
50,1.55E+18,100049,202043,624,7,137,20,1,499000,16362000
51,1.55E+18,100049,202043,624,7,137,20,1,499000,53791000
52,1.55E+18,100049,202043,624,7,137,20,1,499000,84562000
53,1.55E+18,100271,200896,1754,7,435,30,1,299000,38067000
54,1.55E+18,100271,200896,1754,7,435,30,1,299000,77764000
55,1.55E+18,100718,202108,560,6,118,20,1,89900,23075000
56,1.55E+18,100718,202108,560,6,118,20,1,89900,39452000
57,1.55E+18,100718,202108,560,6,118,20,1,89900,60010000
58,1.55E+18,100377,201225,419,7,57,20,1,69900,6082000
59,1.55E+18,100377,201231,424,7,57,20,1,69900,6445000
60,1.55E+18,100377,201225,419,7,57,20,1,69900,11985000
61,1.55E+18,100377,201231,424,7,57,20,1,69900,8491000
62,1.55E+18,100377,201225,419,7,57,20,1,69900,16461000
63,1.55E+18,100377,201231,424,7,57,20,1,69900,10641000
64,1.55E+18,100193,200652,536,6,116,20,1,69900,9647000
65,1.55E+18,100193,200652,536,6,116,20,1,69900,15516000
66,1.55E+18,100193,200652,536,6,116,17,1,69900,18695000
67,1.55E+18,100229,200799,865,5,179,20,1,29800,9605000
68,1.55E+18,100229,200799,865,5,179,20,1,29800,11265000
69,1.55E+18,100229,200799,865,5,179,20,1,29800,14371000
70,1.55E+18,100315,201002,131,2,353,20,1,69000,14944000
71,1.55E+18,100315,201002,131,2,353,20,1,69000,25881000
72,1.55E+18,100315,201002,131,2,353,20,1,69000,30126000
73,1.55E+18,100305,200974,1137,6,295,20,1,59000,11314000
74,1.55E+18,100305,200974,1137,6,295,20,1,59000,21397000
75,1.55E+18,100305,200974,1137,6,295,20,1,59000,34822000
76,1.55E+18,100454,201409,239,7,177,20,1,39900,12607000
77,1.55E+18,100454,201409,239,7,177,20,1,39900,23042000
78,1.55E+18,100454,201409,239,7,177,20,1,39900,38449000
79,1.55E+18,100448,202098,1392,10,382,20,1,158000,7239000
80,1.55E+18,100448,202092,798,10,382,20,1,168000,8951000
81,1.55E+18,100448,202099,1393,10,382,20,1,148000,2118000
82,1.55E+18,100448,202094,799,10,382,20,1,158000,2262000
83,1.55E+18,100448,202098,1392,10,382,20,1,158000,27223000
84,1.55E+18,100448,202092,798,10,382,20,1,168000,13074000
85,1.55E+18,100448,202099,1393,10,382,20,1,148000,9408000
86,1.55E+18,100448,202094,799,10,382,20,1,158000,4507000
87,1.55E+18,100448,202098,1392,10,382,20,1,158000,44478000
88,1.55E+18,100448,202092,798,10,382,20,1,168000,18925000
89,1.55E+18,100448,202099,1393,10,382,20,1,148000,13024000
90,1.55E+18,100448,202094,799,10,382,20,1,158000,3368000
91,1.55E+18,100271,200896,1754,7,435,30,1,299000,29763000
92,1.55E+18,100271,200896,1754,7,435,30,1,299000,66392000
93,1.55E+18,100765,202230,721,10,133,20,1,238000,10107000
94,1.55E+18,100765,202238,1317,10,133,20,1,228000,2270000
95,1.55E+18,100765,202229,720,10,133,20,1,218000,1469000
96,1.55E+18,100765,202237,1316,10,133,20,1,208000,2757000
97,1.55E+18,100765,202230,721,10,133,20,1,238000,17801000
98,1.55E+18,100765,202238,1317,10,133,20,1,228000,17732000
99,1.55E+18,100765,202229,720,10,133,20,1,218000,10627000
100,1.55E+18,100765,202237,1316,10,133,20,1,208000,4731000
101,1.55E+18,100765,202230,721,10,133,20,1,238000,25462000
