,방송일시,노출(분),마더코드,상품코드,상품명,상품군,브랜드,판매단가,유동인구,취급액
0,1.54632e+18,20,100346,201072,1592,7,373,39900,8123838,2099000
1,1.54632e+18,20,100346,201079,1598,7,373,39900,8123838,4371000
2,1.54632e+18,20,100346,201072,1592,7,373,39900,8123838,3262000
3,1.54632e+18,20,100346,201079,1598,7,373,39900,8123838,6955000
4,1.54632e+18,20,100346,201072,1592,7,373,39900,8123838,6672000
5,1.54632e+18,20,100346,201079,1598,7,373,39900,8123838,9337000
6,1.54633e+18,20,100302,200974,1137,6,281,59000,8123838,6819000
7,1.54633e+18,20,100302,200974,1137,6,281,59000,8123838,15689000
8,1.54633e+18,20,100302,200974,1137,6,281,59000,8123838,25370000
9,1.54633e+18,20,100808,202377,182,7,9,59900,8123838,16133000
10,1.54633e+18,20,100808,202377,182,7,9,59900,8123838,30061000
11,1.54633e+18,20,100808,202377,182,7,9,59900,8123838,53542000
12,1.54633e+18,20,100814,202404,911,7,177,79000,8123838,16075000
13,1.54633e+18,20,100814,202404,911,7,177,79000,8123838,25628000
14,1.54634e+18,20,100814,202404,911,7,177,79000,8123838,49270000
15,1.54634e+18,20,100808,202395,193,7,9,79900,8123838,48799000
16,1.54634e+18,20,100808,202395,193,7,9,79900,8123838,97907000
17,1.54634e+18,20,100808,202395,193,7,9,79900,8123838,112972000
18,1.54634e+18,20,100664,201999,1561,6,364,69900,8123838,24531000
19,1.54634e+18,20,100664,201999,1561,6,364,69900,8123838,49829000
20,1.54634e+18,20,100086,200236,1081,10,264,60900,8123838,33823000
21,1.54635e+18,20,100086,200236,1081,10,264,60900,8123838,59083000
22,1.54635e+18,20,100086,200236,1081,10,264,60900,8123838,99235000
23,1.54635e+18,30,100302,200970,1133,6,281,109000,8123838,32273000
24,1.54635e+18,30,100302,200970,1133,6,281,109000,8123838,79273000
25,1.54635e+18,30,100377,201220,415,7,51,119000,8123838,11269000
26,1.54635e+18,30,100377,201226,420,7,51,119000,8123838,20841000
27,1.54635e+18,30,100377,201220,415,7,51,119000,8123838,40526000
28,1.54635e+18,30,100377,201226,420,7,51,119000,8123838,47294000
29,1.54635e+18,20,100496,201497,941,3,187,60900,8123838,14113000
