,방송일시,마더코드,상품코드,상품명,상품군,판매단가,취급액,노출,요일,month
1,2019-01-01 06:00:00,100346,201072,1592,7,39900,2099000,20,tue,1
2,2019-01-01 06:00:00,100346,201079,1598,7,39900,4371000,20,tue,1
3,2019-01-01 06:20:00,100346,201072,1592,7,39900,3262000,20,tue,1
4,2019-01-01 06:20:00,100346,201079,1598,7,39900,6955000,20,tue,1
5,2019-01-01 06:40:00,100346,201072,1592,7,39900,6672000,20,tue,1
6,2019-01-01 06:40:00,100346,201079,1598,7,39900,9337000,20,tue,1
7,2019-01-01 07:00:00,100305,200974,1137,6,59000,6819000,20,tue,1
8,2019-01-01 07:20:00,100305,200974,1137,6,59000,15689000,20,tue,1
9,2019-01-01 07:40:00,100305,200974,1137,6,59000,25370000,20,tue,1
10,2019-01-01 08:00:00,100808,202377,182,7,59900,16133000,20,tue,1
11,2019-01-01 08:20:00,100808,202377,182,7,59900,30061000,20,tue,1
12,2019-01-01 08:40:00,100808,202377,182,7,59900,53542000,20,tue,1
13,2019-01-01 09:00:00,100816,202404,911,7,79000,16075000,20,tue,1
14,2019-01-01 09:20:00,100816,202404,911,7,79000,25628000,20,tue,1
15,2019-01-01 09:40:00,100816,202404,911,7,79000,49270000,20,tue,1
16,2019-01-01 10:00:00,100809,202395,193,7,79900,48799000,20,tue,1
17,2019-01-01 10:20:00,100809,202395,193,7,79900,97907000,20,tue,1
18,2019-01-01 10:40:00,100809,202395,193,7,79900,112972000,20,tue,1
19,2019-01-01 11:00:00,100664,201999,1561,6,69900,24531000,20,tue,1
20,2019-01-01 11:20:00,100664,201999,1561,6,69900,49829000,20,tue,1
21,2019-01-01 12:00:00,100088,200236,1081,10,60900,33823000,20,tue,1
22,2019-01-01 12:20:00,100088,200236,1081,10,60900,59083000,20,tue,1
23,2019-01-01 12:40:00,100088,200236,1081,10,60900,99235000,20,tue,1
24,2019-01-01 13:00:00,100305,200970,1133,6,109000,32273000,30,tue,1
25,2019-01-01 13:30:00,100305,200970,1133,6,109000,79273000,30,tue,1
26,2019-01-01 14:00:00,100377,201220,415,7,119000,11269000,30,tue,1
27,2019-01-01 14:00:00,100377,201226,420,7,119000,20841000,30,tue,1
28,2019-01-01 14:30:00,100377,201220,415,7,119000,40526000,30,tue,1
29,2019-01-01 14:30:00,100377,201226,420,7,119000,47294000,30,tue,1
30,2019-01-01 15:00:00,100496,201497,941,3,60900,14113000,20,tue,1
31,2019-01-01 15:20:00,100496,201497,941,3,60900,32395000,20,tue,1
32,2019-01-01 15:40:00,100496,201497,941,3,60900,39669000,20,tue,1
33,2019-01-01 16:00:00,100322,201479,397,3,49900,60787000,20,tue,1
34,2019-01-01 16:20:00,100322,201479,397,3,49900,115457000,20,tue,1
35,2019-01-01 16:40:00,100849,202512,636,3,61000,83893000,20,tue,1
36,2019-01-01 17:00:00,100074,200197,937,8,39800,42239000,20,tue,1
37,2019-01-01 17:20:00,100074,200197,937,8,39800,73494000,20,tue,1
38,2019-01-01 17:40:00,100074,200197,937,8,39800,107103000,20,tue,1
39,2019-01-01 18:00:00,100435,201350,1192,3,39900,59050000,20,tue,1
40,2019-01-01 18:20:00,100435,201350,1192,3,39900,85937000,20,tue,1
41,2019-01-01 18:40:00,100435,201350,1192,3,39900,101468000,20,tue,1
42,2019-01-01 19:00:00,100607,201892,1666,6,119000,36620000,20,tue,1
43,2019-01-01 19:20:00,100607,201892,1666,6,119000,69349000,20,tue,1
44,2019-01-01 19:40:00,100607,201892,1666,6,119000,84610000,20,tue,1
45,2019-01-01 20:00:00,100150,200532,1285,1,439000,35519000,20,tue,1
46,2019-01-01 20:00:00,100150,200464,687,1,489000,19123000,20,tue,1
47,2019-01-01 20:20:00,100150,200532,1285,1,439000,56859000,20,tue,1
48,2019-01-01 20:20:00,100150,200464,687,1,489000,58685000,20,tue,1
49,2019-01-01 20:40:00,100150,200532,1285,1,439000,68320000,20,tue,1
50,2019-01-01 20:40:00,100150,200464,687,1,489000,46068000,20,tue,1
51,2019-01-01 21:00:00,100049,202043,624,7,499000,16362000,20,tue,1
52,2019-01-01 21:20:00,100049,202043,624,7,499000,53791000,20,tue,1
53,2019-01-01 21:40:00,100049,202043,624,7,499000,84562000,20,tue,1
54,2019-01-01 22:00:00,100271,200896,1754,7,299000,38067000,30,tue,1
55,2019-01-01 22:30:00,100271,200896,1754,7,299000,77764000,30,tue,1
56,2019-01-01 23:00:00,100718,202108,560,6,89900,23075000,20,tue,1
57,2019-01-01 23:20:00,100718,202108,560,6,89900,39452000,20,tue,1
58,2019-01-01 23:40:00,100718,202108,560,6,89900,60010000,20,tue,1
59,2019-01-02 00:00:00,100377,201225,419,7,69900,6082000,20,wed,1
60,2019-01-02 00:00:00,100377,201231,424,7,69900,6445000,20,wed,1
61,2019-01-02 00:20:00,100377,201225,419,7,69900,11985000,20,wed,1
62,2019-01-02 00:20:00,100377,201231,424,7,69900,8491000,20,wed,1
63,2019-01-02 00:40:00,100377,201225,419,7,69900,16461000,20,wed,1
64,2019-01-02 00:40:00,100377,201231,424,7,69900,10641000,20,wed,1
65,2019-01-02 01:00:00,100193,200652,536,6,69900,9647000,20,wed,1
66,2019-01-02 01:20:00,100193,200652,536,6,69900,15516000,20,wed,1
67,2019-01-02 01:40:00,100193,200652,536,6,69900,18695000,17,wed,1
68,2019-01-02 06:00:00,100229,200799,865,5,29800,9605000,20,wed,1
69,2019-01-02 06:20:00,100229,200799,865,5,29800,11265000,20,wed,1
70,2019-01-02 06:40:00,100229,200799,865,5,29800,14371000,20,wed,1
